State,Income per capital,Unemployment rate,Single Parent Rate,RPPS,GDP,Cluster1,Cluster2,,,,,,,
Alabama,43288,3.20,4.99,88.288,203432.7,3,2,,,,,,,
Alaska,61316,5.50,3.35,102.82,53433.8,1,1,,,,,,,
Arizona,48124,4.90,4.05,97.847,325395.3,1,1,,,,,,,
Arkansas,44324,3.50,5.03,87.72,117126.2,3,2,,,,,,,
California,64919,4.10,4.21,110.989,2729225.8,1,1,,,,,,,
Colorado,62124,2.60,3.57,102.419,358438.5,2,1,,,,,,,
Connecticut,75533,3.50,4.72,103.721,251568.2,1,3,,,,,,,
Delaware,54217,3.70,4.25,98.779,64143.5,1,3,,,,,,,
District of Columbia,84671,5.40,5.24,109.546,124597.2,1,3,,,,,,,
Florida,54560,3.20,3.97,99.843,965672.5,3,2,,,,,,,
Georgia,49083,3.60,6.18,94.313,557364.4,3,2,,,,,,,
Hawaii,54700,2.50,3.27,111.634,79213.4,1,1,,,,,,,
Idaho,45924,3.00,3.19,92.475,74162.6,1,1,,,,,,,
Illinois,58438,4.00,4.74,99.548,775998.1,2,2,,,,,,,
Indiana,48749,3.30,4.44,92.82,337902.2,2,2,,,,,,,
Iowa,50367,2.60,4.29,91.694,173722,2,2,,,,,,,
Kansas,52876,3.10,4.09,92.771,159826.2,2,1,,,,,,,
Kentucky,43875,4.10,4.32,89.529,192971.9,3,2,,,,,,,
Louisiana,47668,4.60,6.18,91.21,237044.6,3,2,,,,,,,
Maine,50728,2.80,2.99,94.86,59553.4,1,3,,,,,,,
Maryland,62313,3.40,4.99,105.159,368056.4,1,3,,,,,,,
Massachusetts,73213,3.10,4.26,107.369,514170.8,1,3,,,,,,,
Michigan,49142,4.10,4.32,95.288,467107,2,2,,,,,,,
Minnesota,58543,3.40,3.76,98.994,340557.1,2,2,,,,,,,
Mississippi,39445,5.40,6.47,86.49,100982.8,3,2,,,,,,,
Missouri,49001,3.10,3.98,92.561,290619.5,2,2,,,,,,,
Montana,50289,3.60,2.95,94.199,46886.2,1,1,,,,,,,
Nebraska,54182,3.00,4.43,92.382,118603.7,2,1,,,,,,,
Nevada,52602,4.00,4.53,98.826,156959.1,1,1,,,,,,,
New Hampshire,64747,2.60,2.85,104.061,76819.1,1,3,,,,,,,
New Jersey,68438,3.40,4.35,111.239,559648.8,1,3,,,,,,,
New Mexico,43530,4.90,5.04,92.743,94897.4,3,1,,,,,,,
New York,67366,3.80,4.58,109.583,1500833.4,1,3,,,,,,,
North Carolina,48741,3.80,4.99,91.907,512834.8,1,3,,,,,,,
North Dakota,57110,2.10,2.84,93.366,56385.4,2,2,,,,,,,
Ohio,50035,4.20,4.87,93.28,613251.4,1,3,,,,,,,
Oklahoma,48646,3.10,5.00,89.573,201161.5,3,1,,,,,,,
Oregon,52718,3.70,3.49,103.924,219588,1,1,,,,,,,
Pennsylvania,56952,4.50,4.30,98.078,715060.7,1,3,,,,,,,
Rhode Island,55830,3.60,4.65,102.408,53411.4,1,3,,,,,,,
South Carolina,46681,2.80,4.71,91.572,213237.8,1,3,,,,,,,
South Dakota,55294,2.80,3.32,91.863,46650.5,2,2,,,,,,,
Tennessee,49343,3.40,4.79,91.214,331176.6,3,2,,,,,,,
Texas,54076,3.50,5.54,98.528,1779781.4,3,1,,,,,,,
Utah,48580,2.60,3.95,97.125,172038.4,1,1,,,,,,,
Vermont,55442,2.30,2.79,99.456,29940.7,1,3,,,,,,,
Virginia,59073,2.80,4.51,100.152,489199.1,1,3,,,,,,,
Washington,64189,4.30,3.63,108.036,533150.4,1,1,,,,,,,
West Virginia,42951,4.90,3.38,88.323,72633.4,1,3,,,,,,,
Wisconsin,52893,3.20,3.87,94.492,303669,2,2,,,,,,,
Wyoming,64117,3.70,2.68,93.823,38446.6,1,1,,,,,,,